Entry	Reviewed	Entry Name	Protein names	Length	InterPro
P46019	reviewed	KPB2_HUMAN	Phosphorylase b kinase regulatory subunit alpha, liver isoform (Phosphorylase kinase alpha L subunit)	1235	IPR008928;IPR012341;IPR011613;IPR045583;IPR008734;
P46020	reviewed	KPB1_HUMAN	Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform (Phosphorylase kinase alpha M subunit)	1223	IPR008928;IPR012341;IPR011613;IPR045583;IPR008734;
P46087	reviewed	NOP2_HUMAN	28S rRNA (cytosine(4447)-C(5))-methyltransferase (EC 2.1.1.-) (Nucleolar protein 1) (Nucleolar protein 2 homolog) (Proliferating-cell nucleolar antigen p120) (Proliferation-associated nucleolar protein p120)	812	IPR049560;IPR001678;IPR012586;IPR011023;IPR023267;IPR023273;IPR054728;IPR018314;IPR029063;
P46100	reviewed	ATRX_HUMAN	Transcriptional regulator ATRX (EC 3.6.4.12) (ATP-dependent helicase ATRX) (X-linked helicase II) (X-linked nuclear protein) (XNP) (Znf-HX)	2492	IPR025766;IPR041430;IPR058901;IPR052131;IPR014001;IPR001650;IPR027417;IPR038718;IPR049730;IPR000330;IPR011011;IPR013083;
P46379	reviewed	BAG6_HUMAN	Large proline-rich protein BAG6 (BAG family molecular chaperone regulator 6) (BCL2-associated athanogene 6) (BAG-6) (HLA-B-associated transcript 3) (Protein G3) (Protein Scythe)	1132	IPR021925;IPR048926;IPR000626;IPR029071;IPR019954;
P46531	reviewed	NOTC1_HUMAN	Neurogenic locus notch homolog protein 1 (Notch 1) (hN1) (Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]	2555	IPR002110;IPR036770;IPR000742;IPR001881;IPR013032;IPR000152;IPR018097;IPR009030;IPR008297;IPR035993;IPR051355;IPR049883;IPR022362;IPR024600;IPR000800;IPR010660;IPR011656;
P46821	reviewed	MAP1B_HUMAN	Microtubule-associated protein 1B (MAP-1B) [Cleaved into: MAP1B heavy chain; MAP1 light chain LC1]	2468	IPR026074;IPR057480;IPR056617;IPR000102;
P46934	reviewed	NEDD4_HUMAN	E3 ubiquitin-protein ligase NEDD4 (EC 2.3.2.26) (Cell proliferation-inducing gene 53 protein) (HECT-type E3 ubiquitin transferase NEDD4) (Neural precursor cell expressed developmentally down-regulated protein 4) (NEDD-4)	1319	IPR035892;IPR050409;IPR000569;IPR035983;IPR001202;IPR036020;
P46939	reviewed	UTRN_HUMAN	Utrophin (Dystrophin-related protein 1) (DRP-1)	3433	IPR001589;IPR001715;IPR036872;IPR035436;IPR011992;IPR015153;IPR015154;IPR050774;IPR018159;IPR002017;IPR001202;IPR036020;IPR000433;IPR043145;
P46940	reviewed	IQGA1_HUMAN	Ras GTPase-activating-like protein IQGAP1 (p195)	1657	IPR001715;IPR036872;IPR000048;IPR027417;IPR000593;IPR023152;IPR001936;IPR008936;IPR001202;
P47989	reviewed	XDH_HUMAN	Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)]	1333	IPR002888;IPR036884;IPR036010;IPR001041;IPR006058;IPR000674;IPR036856;IPR016208;IPR008274;IPR046867;IPR037165;IPR012675;IPR005107;IPR036683;IPR016166;IPR036318;IPR016167;IPR016169;IPR002346;IPR022407;IPR014307;
P48058	reviewed	GRIA4_HUMAN	Glutamate receptor 4 (GluR-4) (GluR4) (AMPA-selective glutamate receptor 4) (GluR-D) (Glutamate receptor ionotropic, AMPA 4)	902	IPR001828;IPR019594;IPR001508;IPR015683;IPR001320;IPR028082;
P48200	reviewed	IREB2_HUMAN	Iron-responsive element-binding protein 2 (IRE-BP 2) (Iron regulatory protein 2) (IRP2)	963	IPR044137;IPR015931;IPR001030;IPR015928;IPR006249;IPR018136;IPR036008;IPR000573;
P48357	reviewed	LEPR_HUMAN	Leptin receptor (LEP-R) (HuB219) (OB receptor) (OB-R) (CD antigen CD295)	1165	IPR003961;IPR036116;IPR003529;IPR003531;IPR007110;IPR013783;IPR010457;IPR041182;
P48552	reviewed	NRIP1_HUMAN	Nuclear receptor-interacting protein 1 (Nuclear factor RIP140) (Receptor-interacting protein 140)	1158	IPR026649;IPR031405;IPR031406;IPR031407;IPR031408;
P48553	reviewed	TPC10_HUMAN	Trafficking protein particle complex subunit 10 (Epilepsy holoprosencephaly candidate 1 protein) (EHOC-1) (Protein GT334) (Trafficking protein particle complex subunit TMEM1) (Transport protein particle subunit TMEM1) (TRAPP subunit TMEM1)	1259	IPR056917;IPR045126;IPR022233;IPR056913;
P48634	reviewed	PRC2A_HUMAN	Protein PRRC2A (HLA-B-associated transcript 2) (Large proline-rich protein BAT2) (Proline-rich and coiled-coil-containing protein 2A) (Protein G2)	2157	IPR009738;IPR033184;
P48681	reviewed	NEST_HUMAN	Nestin	1621	IPR018039;IPR039008;IPR031211;
P48736	reviewed	PK3CG_HUMAN	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform (PI3-kinase subunit gamma) (PI3K-gamma) (PI3Kgamma) (PtdIns-3-kinase subunit gamma) (EC 2.7.1.137) (EC 2.7.1.153) (EC 2.7.1.154) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit gamma) (PtdIns-3-kinase subunit p110-gamma) (p110gamma) (Phosphoinositide-3-kinase catalytic gamma polypeptide) (Serine/threonine protein kinase PIK3CG) (EC 2.7.11.1) (p120-PI3K)	1102	IPR016024;IPR035892;IPR011009;IPR015433;IPR000403;IPR036940;IPR018936;IPR002420;IPR003113;IPR001263;IPR042236;IPR000341;IPR045580;IPR029071;
P48751	reviewed	B3A3_HUMAN	Anion exchange protein 3 (AE 3) (Anion exchanger 3) (CAE3/BAE3) (Cardiac/brain band 3-like protein) (Neuronal band 3-like protein) (Solute carrier family 4 member 3)	1232	IPR001717;IPR002979;IPR018241;IPR013769;IPR011531;IPR003020;IPR016152;
P48764	reviewed	SL9A3_HUMAN	Sodium/hydrogen exchanger 3 (Na(+)/H(+) exchanger 3) (NHE-3) (Solute carrier family 9 member 3)	834	IPR018422;IPR006153;IPR018410;IPR004709;
P48960	reviewed	AGRE5_HUMAN	Adhesion G protein-coupled receptor E5 (Leukocyte antigen CD97) (CD antigen CD97) [Cleaved into: Adhesion G protein-coupled receptor E5 subunit alpha; Adhesion G protein-coupled receptor E5 subunit beta]	835	IPR000742;IPR001881;IPR000152;IPR018097;IPR057244;IPR046338;IPR017981;IPR003056;IPR000832;IPR017983;IPR000203;IPR009030;IPR049883;
P49327	reviewed	FAS_HUMAN	Fatty acid synthase (EC 2.3.1.85) (Type I fatty acid synthase) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Acyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)]	2511	IPR029058;IPR001227;IPR036736;IPR014043;IPR016035;IPR013149;IPR020843;IPR049391;IPR011032;IPR018201;IPR014031;IPR014030;IPR057326;IPR016036;IPR013217;IPR036291;IPR032821;IPR020841;IPR042104;IPR020807;IPR049552;IPR013968;IPR049900;IPR050091;IPR020806;IPR009081;IPR006162;IPR029063;IPR001031;IPR016039;
P49454	reviewed	CENPF_HUMAN	Centromere protein F (CENP-F) (AH antigen) (Kinetochore protein CENPF) (Mitosin)	3114	IPR043513;IPR018302;IPR019513;IPR018463;
P49588	reviewed	SYAC_HUMAN	Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Protein lactyltransferase AARS1) (EC 6.-.-.-) (Renal carcinoma antigen NY-REN-42)	968	IPR045864;IPR002318;IPR018162;IPR018165;IPR018164;IPR050058;IPR023033;IPR003156;IPR018163;IPR009000;IPR012947;
P49641	reviewed	MA2A2_HUMAN	Alpha-mannosidase 2x (EC 3.2.1.114) (Alpha-mannosidase IIx) (Man IIx) (Mannosidase alpha class 2A member 2) (Mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase)	1150	IPR011013;IPR011330;IPR011682;IPR015341;IPR037094;IPR000602;IPR027291;IPR028995;IPR013780;IPR050843;
P49736	reviewed	MCM2_HUMAN	DNA replication licensing factor MCM2 (EC 3.6.4.12) (Minichromosome maintenance protein 2 homolog) (Nuclear protein BM28)	904	IPR031327;IPR008045;IPR018525;IPR001208;IPR041562;IPR027925;IPR033762;IPR012340;IPR027417;IPR059098;
P49746	reviewed	TSP3_HUMAN	Thrombospondin-3	956	IPR013320;IPR000742;IPR001881;IPR018097;IPR049883;IPR003367;IPR017897;IPR008859;IPR024665;IPR046970;IPR028507;IPR028974;IPR048287;
P49754	reviewed	VPS41_HUMAN	Vacuolar protein sorting-associated protein 41 homolog (S53)	854	IPR057780;IPR000547;IPR011990;IPR016902;IPR045111;IPR015943;IPR036322;IPR001841;IPR057779;
P49756	reviewed	RBM25_HUMAN	RNA-binding protein 25 (Arg/Glu/Asp-rich protein of 120 kDa) (RED120) (Protein S164) (RNA-binding motif protein 25) (RNA-binding region-containing protein 7)	843	IPR012677;IPR002483;IPR036483;IPR035979;IPR052768;IPR034268;IPR000504;
P49790	reviewed	NU153_HUMAN	Nuclear pore complex protein Nup153 (153 kDa nucleoporin) (Nucleoporin Nup153)	1475	IPR026054;IPR013913;IPR018892;IPR001876;IPR036443;
P49792	reviewed	RBP2_HUMAN	E3 SUMO-protein ligase RanBP2 (EC 2.3.2.-) (358 kDa nucleoporin) (Nuclear pore complex protein Nup358) (Nucleoporin Nup358) (Ran-binding protein 2) (RanBP2) (p270)	3224	IPR029000;IPR020892;IPR002130;IPR022011;IPR011993;IPR000156;IPR045255;IPR011990;IPR019734;IPR001876;IPR036443;
P49796	reviewed	RGS3_HUMAN	Regulator of G-protein signaling 3 (RGP3) (RGS3)	1198	IPR000008;IPR035892;IPR001478;IPR036034;IPR011993;IPR016137;IPR034951;IPR036305;IPR024066;IPR044926;
P49815	reviewed	TSC2_HUMAN	Tuberin (Tuberous sclerosis 2 protein)	1807	IPR011989;IPR016024;IPR035974;IPR000331;IPR003913;IPR018515;IPR027107;IPR024584;
P49916	reviewed	DNLI3_HUMAN	DNA ligase 3 (EC 6.5.1.1) (DNA ligase III) (Polydeoxyribonucleotide synthase [ATP] 3)	1009	IPR050191;IPR001357;IPR036420;IPR000977;IPR012309;IPR012310;IPR016059;IPR012308;IPR036599;IPR031916;IPR012340;IPR001510;IPR036957;
P49917	reviewed	DNLI4_HUMAN	DNA ligase 4 (EC 6.5.1.1) (DNA ligase IV) (Polydeoxyribonucleotide synthase [ATP] 4)	911	IPR044125;IPR001357;IPR036420;IPR000977;IPR012309;IPR012310;IPR016059;IPR012308;IPR021536;IPR036599;IPR029710;IPR012340;
P50570	reviewed	DYN2_HUMAN	Dynamin-2 (EC 3.6.5.5) (Dynamin 2) (Dynamin II)	870	IPR022812;IPR001401;IPR019762;IPR045063;IPR000375;IPR030381;IPR003130;IPR020850;IPR027417;IPR011993;IPR001849;
P50748	reviewed	KNTC1_HUMAN	Kinetochore-associated protein 1 (Rough deal homolog) (HsROD) (Rod) (hRod)	2209	IPR055403;IPR055404;IPR055405;IPR052802;IPR055402;IPR019527;IPR036322;
P50851	reviewed	LRBA_HUMAN	Lipopolysaccharide-responsive and beige-like anchor protein (Beige-like protein) (CDC4-like protein)	2863	IPR011989;IPR016024;IPR000409;IPR036372;IPR050865;IPR013320;IPR046851;IPR010508;IPR031570;IPR046852;IPR023362;IPR011993;IPR015943;IPR036322;IPR001680;
P50993	reviewed	AT1A2_HUMAN	Sodium/potassium-transporting ATPase subunit alpha-2 (Na(+)/K(+) ATPase alpha-2 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-2)	1020	IPR006068;IPR004014;IPR023299;IPR018303;IPR023298;IPR008250;IPR059000;IPR050510;IPR036412;IPR023214;IPR005775;IPR001757;IPR044492;
P51160	reviewed	PDE6C_HUMAN	Cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha' (EC 3.1.4.35) (cGMP phosphodiesterase 6C)	858	IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
P51172	reviewed	SCNND_HUMAN	Epithelial sodium channel subunit delta (Delta-ENaC) (ENaCD) (Epithelial Na(+) channel subunit delta) (Amiloride-sensitive sodium channel subunit delta) (Delta-NaCH) (Nonvoltage-gated sodium channel 1 subunit delta) (SCNED)	802	IPR001873;IPR004724;IPR020903;
P51530	reviewed	DNA2_HUMAN	DNA replication ATP-dependent helicase/nuclease DNA2 (hDNA2) (DNA replication ATP-dependent helicase-like homolog) [Includes: DNA replication nuclease DNA2 (EC 3.1.-.-); DNA replication ATP-dependent helicase DNA2 (EC 3.6.4.12)]	1060	IPR051827;IPR026851;IPR041679;IPR041677;IPR048459;IPR014808;IPR027417;IPR011604;IPR047187;
P51531	reviewed	SMCA2_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2 (SAMRCA2) (EC 3.6.4.-) (BRG1-associated factor 190B) (BAF190B) (Probable global transcription activator SNF2L2) (Protein brahma homolog) (hBRM) (SNF2-alpha)	1590	IPR006576;IPR037259;IPR001487;IPR036427;IPR018359;IPR014978;IPR014001;IPR001650;IPR014012;IPR027417;IPR029295;IPR038718;IPR049730;IPR000330;
P51532	reviewed	SMCA4_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4 (SMARCA4) (EC 3.6.4.-) (BRG1-associated factor 190A) (BAF190A) (Mitotic growth and transcription activator) (Protein BRG-1) (Protein brahma homolog 1) (SNF2-beta) (Transcription activator BRG1)	1647	IPR030100;IPR006576;IPR037259;IPR001487;IPR036427;IPR018359;IPR014978;IPR014001;IPR001650;IPR014012;IPR027417;IPR029295;IPR038718;IPR049730;IPR000330;
P51587	reviewed	BRCA2_HUMAN	Breast cancer type 2 susceptibility protein (Fanconi anemia group D1 protein)	3418	IPR015525;IPR015252;IPR036315;IPR015187;IPR048262;IPR015188;IPR002093;IPR055077;IPR012340;IPR015205;
P51610	reviewed	HCFC1_HUMAN	Host cell factor 1 (HCF) (HCF-1) (C1 factor) (CFF) (VCAF) (VP16 accessory protein) [Cleaved into: HCF N-terminal chain 1; HCF N-terminal chain 2; HCF N-terminal chain 3; HCF N-terminal chain 4; HCF N-terminal chain 5; HCF N-terminal chain 6; HCF C-terminal chain 1; HCF C-terminal chain 2; HCF C-terminal chain 3; HCF C-terminal chain 4; HCF C-terminal chain 5; HCF C-terminal chain 6]	2035	IPR003961;IPR036116;IPR043536;IPR013783;IPR015915;IPR059124;
P51784	reviewed	UBP11_HUMAN	Ubiquitin carboxyl-terminal hydrolase 11 (EC 3.4.19.12) (Deubiquitinating enzyme 11) (Ubiquitin thioesterase 11) (Ubiquitin-specific-processing protease 11)	963	IPR035927;IPR038765;IPR006615;IPR001394;IPR050185;IPR028135;IPR028889;IPR029346;IPR018200;
P51788	reviewed	CLCN2_HUMAN	Chloride channel protein 2 (ClC-2)	898	IPR046342;IPR002244;IPR014743;IPR050970;IPR001807;
P51790	reviewed	CLCN3_HUMAN	H(+)/Cl(-) exchange transporter 3 (Chloride channel protein 3) (ClC-3) (Chloride transporter ClC-3)	818	IPR000644;IPR046342;IPR014743;IPR001807;IPR002245;
P51795	reviewed	CLCN5_HUMAN	H(+)/Cl(-) exchange transporter 5 (Chloride channel protein 5) (ClC-5) (Chloride transporter ClC-5)	816	IPR000644;IPR046342;IPR014743;IPR002247;IPR001807;
P51797	reviewed	CLCN6_HUMAN	H(+)/Cl(-) exchange transporter 6 (Chloride channel protein 6) (ClC-6) (Chloride transport protein 6)	869	IPR000644;IPR046342;IPR051280;IPR014743;IPR002248;IPR001807;
P51798	reviewed	CLCN7_HUMAN	H(+)/Cl(-) exchange transporter 7 (Chloride channel 7 alpha subunit) (Chloride channel protein 7) (ClC-7)	805	IPR000644;IPR046342;IPR002249;IPR051280;IPR014743;IPR001807;
P51805	reviewed	PLXA3_HUMAN	Plexin-A3 (Plexin-4) (Semaphorin receptor SEX)	1871	IPR013783;IPR014756;IPR002909;IPR031148;IPR013548;IPR046800;IPR002165;IPR016201;IPR008936;IPR001627;IPR036352;IPR041019;IPR041362;IPR015943;
P51814	reviewed	ZNF41_HUMAN	Zinc finger protein 41	821	IPR001909;IPR036051;IPR036236;IPR013087;
P51816	reviewed	AFF2_HUMAN	AF4/FMR2 family member 2 (Protein FMR-2) (FMR2P) (Protein Ox19)	1311	IPR007797;IPR043640;IPR043639;
P51825	reviewed	AFF1_HUMAN	AF4/FMR2 family member 1 (ALL1-fused gene from chromosome 4 protein) (Protein AF-4) (Protein FEL) (Proto-oncogene AF4)	1210	IPR007797;IPR043640;IPR043639;
P51826	reviewed	AFF3_HUMAN	AF4/FMR2 family member 3 (Lymphoid nuclear protein related to AF4) (Protein LAF-4)	1226	IPR007797;IPR043640;IPR043639;
P51828	reviewed	ADCY7_HUMAN	Adenylate cyclase type 7 (EC 4.6.1.1) (ATP pyrophosphate-lyase 7) (Adenylate cyclase type VII) (Adenylyl cyclase 7) (Cyclic di-AMP synthase ADCY7) (EC 2.7.7.85)	1080	IPR001054;IPR018297;IPR032628;IPR030672;IPR009398;IPR029787;
P51841	reviewed	GUC2F_HUMAN	Retinal guanylyl cyclase 2 (RETGC-2) (EC 4.6.1.2) (Guanylate cyclase 2F, retinal) (Guanylate cyclase F) (GC-F) (Rod outer segment membrane guanylate cyclase 2) (ROS-GC2)	1108	IPR001054;IPR018297;IPR001828;IPR050401;IPR011645;IPR011009;IPR029787;IPR028082;IPR000719;IPR001245;
P51957	reviewed	NEK4_HUMAN	Serine/threonine-protein kinase Nek4 (EC 2.7.11.1) (Never in mitosis A-related kinase 4) (NimA-related protein kinase 4) (Serine/threonine-protein kinase 2) (Serine/threonine-protein kinase NRK2)	841	IPR011009;IPR051131;IPR000719;IPR017441;IPR008271;
P52179	reviewed	MYOM1_HUMAN	Myomesin-1 (190 kDa connectin-associated protein) (190 kDa titin-associated protein) (Myomesin family member 1)	1685	IPR003961;IPR036116;IPR007110;IPR036179;IPR013783;IPR013098;IPR003599;IPR003598;IPR050964;
P52333	reviewed	JAK3_HUMAN	Tyrosine-protein kinase JAK3 (EC 2.7.10.2) (Janus kinase 3) (JAK-3) (Leukocyte janus kinase) (L-JAK)	1124	IPR019749;IPR000299;IPR041155;IPR041046;IPR051286;IPR041381;IPR011009;IPR011993;IPR000719;IPR017441;IPR001245;IPR000980;IPR036860;IPR008266;IPR020635;IPR016251;IPR020775;
P52630	reviewed	STAT2_HUMAN	Signal transducer and activator of transcription 2 (p113)	851	IPR008967;IPR000980;IPR036860;IPR001217;IPR022756;IPR035854;IPR048988;IPR036535;IPR013800;IPR015988;IPR013801;IPR012345;IPR013799;
P52701	reviewed	MSH6_HUMAN	DNA mismatch repair protein Msh6 (hMSH6) (G/T mismatch-binding protein) (GTBP) (GTMBP) (MutS protein homolog 6) (MutS-alpha 160 kDa subunit) (p160)	1360	IPR007695;IPR017261;IPR000432;IPR007861;IPR007696;IPR016151;IPR036187;IPR007860;IPR045076;IPR036678;IPR027417;IPR000313;
P52732	reviewed	KIF11_HUMAN	Kinesin-like protein KIF11 (Kinesin-like protein 1) (Kinesin-like spindle protein HKSP) (Kinesin-related motor protein Eg5) (Thyroid receptor-interacting protein 5) (TR-interacting protein 5) (TRIP-5)	1056	IPR047149;IPR047241;IPR025901;IPR019821;IPR001752;IPR036961;IPR027417;
P52735	reviewed	VAV2_HUMAN	Guanine nucleotide exchange factor VAV2 (VAV-2)	878	IPR022613;IPR001715;IPR036872;IPR035899;IPR000219;IPR001331;IPR011993;IPR001849;IPR037832;IPR002219;IPR000980;IPR036860;IPR036028;IPR001452;IPR055251;IPR035880;IPR035733;IPR035732;
P52756	reviewed	RBM5_HUMAN	RNA-binding protein 5 (Protein G15) (Putative tumor suppressor LUCA15) (RNA-binding motif protein 5) (Renal carcinoma antigen NY-REN-9)	815	IPR000467;IPR012677;IPR041591;IPR035979;IPR034991;IPR034993;IPR000504;IPR013087;IPR001876;IPR036443;
P52789	reviewed	HXK2_HUMAN	Hexokinase-2 (EC 2.7.1.1) (Hexokinase type II) (HK II) (Hexokinase-B) (Muscle form hexokinase)	917	IPR043129;IPR001312;IPR019807;IPR022673;IPR022672;
P52790	reviewed	HXK3_HUMAN	Hexokinase-3 (EC 2.7.1.1) (Hexokinase type III) (HK III) (Hexokinase-C)	923	IPR043129;IPR001312;IPR019807;IPR022673;IPR022672;
P52824	reviewed	DGKQ_HUMAN	Diacylglycerol kinase theta (DAG kinase theta) (DGKtheta) (EC 2.7.1.107) (EC 2.7.1.93) (Diglyceride kinase theta) (DGK-theta)	942	IPR017438;IPR046349;IPR037607;IPR056392;IPR000756;IPR001206;IPR016064;IPR002219;IPR000159;IPR029071;
P52848	reviewed	NDST1_HUMAN	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1 (Glucosaminyl N-deacetylase/N-sulfotransferase 1) (NDST-1) (N-heparan sulfate sulfotransferase 1) (N-HSST 1) ([Heparan sulfate]-glucosamine N-sulfotransferase 1) (HSNST 1) [Includes: Heparan sulfate N-deacetylase 1 (EC 3.5.1.-); Heparan sulfate N-sulfotransferase 1 (EC 2.8.2.8)]	882	IPR021930;IPR056793;IPR037359;IPR027417;IPR000863;
P52849	reviewed	NDST2_HUMAN	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 2 (EC 2.8.2.8) (Glucosaminyl N-deacetylase/N-sulfotransferase 2) (NDST-2) (N-heparan sulfate sulfotransferase 2) (N-HSST 2) [Includes: Heparan sulfate N-deacetylase 2 (EC 3.-.-.-); Heparan sulfate N-sulfotransferase 2 (EC 2.8.2.-)]	883	IPR021930;IPR056793;IPR037359;IPR027417;IPR000863;
P52948	reviewed	NUP98_HUMAN	Nuclear pore complex protein Nup98-Nup96 (EC 3.4.21.-) [Cleaved into: Nuclear pore complex protein Nup98 (98 kDa nucleoporin) (Nucleoporin Nup98) (Nup98); Nuclear pore complex protein Nup96 (96 kDa nucleoporin) (Nucleoporin Nup96) (Nup96)]	1817	IPR037665;IPR007230;IPR036903;IPR021967;
P53355	reviewed	DAPK1_HUMAN	Death-associated protein kinase 1 (DAP kinase 1) (EC 2.7.11.1)	1430	IPR002110;IPR036770;IPR020676;IPR011029;IPR000488;IPR011009;IPR027417;IPR000719;IPR017441;IPR020859;IPR008271;
P53396	reviewed	ACLY_HUMAN	ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (ACL) (Citrate cleavage enzyme)	1101	IPR014608;IPR017440;IPR032263;IPR016143;IPR056749;IPR002020;IPR036969;IPR033847;IPR003781;IPR036291;IPR017866;IPR005811;IPR016102;
P53420	reviewed	CO4A4_HUMAN	Collagen alpha-4(IV) chain	1690	IPR008160;IPR001442;IPR036954;IPR050149;IPR016187;
P53618	reviewed	COPB_HUMAN	Coatomer subunit beta (Beta-coat protein) (Beta-COP)	953	IPR011989;IPR016024;IPR002553;IPR011710;IPR016460;IPR029446;
P53621	reviewed	COPA_HUMAN	Coatomer subunit alpha (Alpha-coat protein) (Alpha-COP) (HEP-COP) (HEPCOP) [Cleaved into: Xenin (Xenopsin-related peptide); Proxenin]	1224	IPR006692;IPR047312;IPR016391;IPR010714;IPR050844;IPR011048;IPR056176;IPR015943;IPR020472;IPR019775;IPR036322;IPR001680;
P53675	reviewed	CLH2_HUMAN	Clathrin heavy chain 2 (Clathrin heavy chain on chromosome 22) (CLH-22)	1640	IPR016024;IPR055358;IPR000547;IPR015348;IPR016025;IPR022365;IPR016341;IPR011990;
P53708	reviewed	ITA8_HUMAN	Integrin alpha-8 [Cleaved into: Integrin alpha-8 heavy chain; Integrin alpha-8 light chain]	1063	IPR013517;IPR013519;IPR000413;IPR018184;IPR013649;IPR048285;IPR048286;IPR028994;IPR032695;
P53804	reviewed	TTC3_HUMAN	E3 ubiquitin-protein ligase TTC3 (EC 2.3.2.27) (Protein DCRR1) (RING finger protein 105) (RING-type E3 ubiquitin transferase TTC3) (TPR repeat protein D) (Tetratricopeptide repeat protein 3) (TPR repeat protein 3)	2025	IPR011029;IPR011990;IPR019734;IPR056872;IPR056870;IPR043866;IPR056871;IPR001841;IPR013083;
P53814	reviewed	SMTN_HUMAN	Smoothelin	917	IPR001715;IPR036872;IPR050540;IPR022189;
P53992	reviewed	SC24C_HUMAN	Protein transport protein Sec24C (SEC24-related protein C)	1094	IPR029006;IPR012990;IPR007123;IPR036180;IPR006900;IPR036175;IPR006896;IPR050550;IPR041742;IPR036465;IPR006895;IPR036174;
P54098	reviewed	DPOG1_HUMAN	DNA polymerase subunit gamma-1 (EC 2.7.7.7) (3'-5' exodeoxyribonuclease) (EC 3.1.11.-) (5'-deoxyribose-phosphate lyase) (EC 4.2.99.-) (Mitochondrial DNA polymerase catalytic subunit) (PolG-alpha)	1239	IPR019760;IPR002297;IPR001098;IPR043502;IPR041336;IPR047580;IPR012337;
P54132	reviewed	BLM_HUMAN	RecQ-like DNA helicase BLM (EC 5.6.2.4) (Bloom syndrome protein) (DNA 3'-5' helicase BLM) (DNA helicase, RecQ-like type 2) (RecQ2) (RecQ protein-like 3)	1417	IPR012532;IPR032439;IPR032437;IPR011545;IPR002464;IPR004589;IPR014001;IPR001650;IPR010997;IPR002121;IPR044876;IPR027417;IPR032284;IPR018982;IPR036388;IPR036390;
P54198	reviewed	HIRA_HUMAN	Protein HIRA (TUP1-like enhancer of split protein 1)	1017	IPR055410;IPR031120;IPR011494;IPR015943;IPR036322;IPR001680;
P54253	reviewed	ATX1_HUMAN	Ataxin-1 (Spinocerebellar ataxia type 1 protein)	815	IPR020997;IPR043404;IPR003652;IPR036096;
P54259	reviewed	ATN1_HUMAN	Atrophin-1 (Dentatorubral-pallidoluysian atrophy protein)	1190	IPR017993;IPR002951;
P54277	reviewed	PMS1_HUMAN	PMS1 protein homolog 1 (DNA mismatch repair protein PMS1)	932	IPR014762;IPR013507;IPR036890;IPR009071;IPR036910;IPR002099;IPR038973;IPR020568;IPR014721;
P54278	reviewed	PMS2_HUMAN	Mismatch repair endonuclease PMS2 (EC 3.1.-.-) (DNA mismatch repair protein PMS2) (PMS1 protein homolog 2)	862	IPR014762;IPR013507;IPR036890;IPR002099;IPR038973;IPR014790;IPR042120;IPR042121;IPR037198;IPR020568;IPR014721;
P54289	reviewed	CA2D1_HUMAN	Voltage-dependent calcium channel subunit alpha-2/delta-1 (Voltage-gated calcium channel subunit alpha-2/delta-1) [Cleaved into: Voltage-dependent calcium channel subunit alpha-2-1; Voltage-dependent calcium channel subunit delta-1]	1103	IPR051173;IPR013680;IPR013608;IPR002035;IPR036465;
P54296	reviewed	MYOM2_HUMAN	Myomesin-2 (165 kDa connectin-associated protein) (165 kDa titin-associated protein) (M-protein) (Myomesin family member 2)	1465	IPR003961;IPR036116;IPR007110;IPR036179;IPR013783;IPR013098;IPR003599;IPR003598;IPR050964;
